policy_id,nome,nivel,tipo_beneficio,responsavel,descricao,criterios,legislacao_titulo,legislacao_url,info_url,phone,email,contact_site,financas_resumo,subprogramas,como_acessar
POL014,Política de Garantia de Preços Mínimos para Produtos da Sociobiodiversidade (PGPM-Bio),Nacional,subvenção econômica (garantia de preço mínimo),CONAB,"Concede subvenção financeira quando o preço de venda de produtos da sociobiodiversidade fica abaixo do preço mínimo estabelecido pelo governo, assegurando renda mínima ao extrativista/pescador","- Agricultor/extrativista familiar (obrigatório)
- Produto contemplado (obrigatório)
- CAF/DAP ativo (obrigatório)
- Nota fiscal do produto (obrigatório)
- Comprovante de venda abaixo do preço mínimo (obrigatório)
- Solicitação junto à CONAB (obrigatório)
- Pagamento da subvenção (obrigatório)",Atos anuais de preços mínimos extrativistas (PGPM-Bio),https://www.conab.gov.br/ultimas-noticias/5654-conab-divulga-precos-minimos-para-produtos-extrativistas,https://www.conab.gov.br/pgpm-bio,(61) 3312-6666,ouvidoria@conab.gov.br,https://www.conab.gov.br,"• teto_anual: 8000
• preco_minimo: variável por produto
• subvenção: diferença p/ preço mínimo
• prazo_pagamento: 30–60 dias
• produtos_abrangidos: lista anual CONAB",,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 3312-6666. E-mails: ouvidoria@conab.gov.br.
POL004,Programa Nacional de Alimentação Escolar (PNAE),Nacional,compra pública (alimentação escolar),FNDE,Aquisição de alimentos da agricultura familiar e da pesca artesanal para a alimentação escolar em toda a rede pública de ensino básico,"- Fornecedor da agricultura/pesca familiar (obrigatório)
- Capacidade de fornecimento (obrigatório)
- CAF/DAP ativo (obrigatório)
- Projeto de Venda (obrigatório)
- Nota Fiscal de Produtor (obrigatório)
- Acompanhar chamadas públicas (obrigatório)
- Submeter Projeto de Venda (obrigatório)
- Entregar produtos conforme contrato (obrigatório)",Lei nº 11.947/2009 (alimentaçao escolar; 30% da agricultura familiar),https://www.planalto.gov.br/ccivil_03/_Ato2007-2010/2009/Lei/L11947.htm,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae,0800-616161,cgpae@fnde.gov.br,https://www.fnde.gov.br,• percentual_obrigatorio_AF: 0.3,"Compra da Agricultura Familiar, Educação Alimentar e Nutricional, Gestão descentralizada",Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: 0800-616161. E-mails: cgpae@fnde.gov.br.
POL021,Previdência Social,Nacional,"seguridade social (aposentadorias, auxílios, pensões e benefícios assistenciais vinculados à contribuição)",INSS,"Garante renda de proteção social a trabalhadores brasileiros e seus dependentes em casos de aposentadoria, invalidez, idade avançada, morte, doença, acidente, maternidade e períodos de afastamento","- Contribuição previdenciária (obrigatório)
- Enquadramento como segurado especial (obrigatório)
- RGP ativo (para pescadores) (obrigatório)
- Documentos pessoais e CadÚnico (obrigatório)
- Inscrição no INSS (obrigatório)
- Idade mínima (obrigatório)
- Incapacidade permanente (obrigatório)
- Incapacidade temporária (obrigatório)",Lei nº 8.213/1991 (Planos de Benefícios da Previdência Social),https://www.planalto.gov.br/ccivil_03/leis/l8213cons.htm,https://www.gov.br/inss,135,ouvidoria@inss.gov.br,https://www.gov.br/inss,,,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: 135. E-mails: ouvidoria@inss.gov.br.
POL001,Plano Safra da Agricultura Familiar (PRONAF Pesca e Aquicultura),Nacional,crédito rural subsidiado (PRONAF),MAPA,"Crédito rural para investimentos ligados à pesca e aquicultura (embarcações, infraestrutura, inovação).","- Agricultor Familiar (obrigatório)
- Atividade pesqueira/aquícola (obrigatório)
- CAF/DAP (obrigatório)
- Projeto/Orçamento simplificado (obrigatório)
- Solicitação em agente financeiro (obrigatório)
- Análise de crédito (obrigatório)
- Assinatura do contrato (obrigatório)
- Plano de custeio (obrigatório)",Lei nº 11.326/2006 (define a agricultura familiar),https://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2006/Lei/L11326.htm,https://www.gov.br/agricultura/pt-br/assuntos/politicas-agricolas/plano-safra,(61) 3218-2603,pronaf@mda.gov.br,https://www.gov.br/mda/pt-br/assuntos/agricultura-familiar/pronaf,"• taxa_juros_anual: 2% a 4% a.a.
• prazo_maximo: até 10 anos
• carencia: até 3 anos
• bonus_adimplencia: até 25%
• linha_custeio: teto R$ 250.000
• linha_invest: teto R$ 250.000
• linha_coop: teto R$ 1.500.000","PRONAF Custeio, PRONAF Investimento, PRONAF Jovem/Mulher, Pronaf Bioeconomia, Pronaf Cotas-Partes, Pronaf Jovem, Pronaf Mais Alimentos, Pronaf Microcrédito (Grupo ""B"")",Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 3218-2603. E-mails: pronaf@mda.gov.br.
POL016,Programa Bioeconomia Brasil – Sociobiodiversidade,Nacional,programa estruturante de fomento e valorização produtiva,MAPA,"Visa ampliar a produção, a agregação de valor e a inserção de produtos da sociobiodiversidade em mercados diferenciados, fortalecendo cadeias produtivas e a bioeconomia no Brasil","- Agricultor/pescador/extrativista familiar (obrigatório)
- Projeto produtivo sustentável (obrigatório)
- CAF/DAP ativo (obrigatório)
- Projeto de bioeconomia (obrigatório)
- Submissão de projeto (obrigatório)
- Execução e prestação de contas (obrigatório)",Portaria MAPA nº 121/2019 (institui o Programa Bioeconomia Brasil – Sociobiodiversidade),https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/programa-bioeconomia-brasil-sociobiodiversidade,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/bioeconomia,(61) 3218-2828,faleconosco@agricultura.gov.br,https://www.gov.br/agricultura,,,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 3218-2828. E-mails: faleconosco@agricultura.gov.br.
POL003,Desenrola Rural,Nacional,renegociação de dívidas / facilitação de acesso a crédito,MDA,"Liquidação/renegociação de dívidas em inadimplência, com possibilidade de descontos de até 96%, visando recuperar adimplência e acesso a novas linhas (como PRONAF).","- Ser agricultor/pescador familiar (obrigatório)
- Existência de dívida rural (obrigatório)
- Contrato de crédito rural (obrigatório)
- CAF/DAP ativo (obrigatório)
- Solicitar renegociação (obrigatório)
- Análise da dívida (obrigatório)
- Formalização do acordo (obrigatório)
- Inscrição na PGFN (obrigatório)",Decreto nº 12.381/2025 (institui o Desenrola Rural e estabelece diretrizes),https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/d12381.htm,https://www.gov.br/mda/pt-br/desenrola-rural,,,https://www.gov.br/mda,• desconto_maximo: até 96%,"Crédito de Instalação (INCRA), Dívidas com recursos dos Fundos Constitucionais, Dívidas inscritas na Dívida Ativa da União (DAU), Outras dívidas rurais junto a bancos ou instituições financeiras",Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado.
POL012,Política Nacional de Assistência Técnica e Extensão Rural (PNATER),Nacional,serviço público (assistência técnica e extensão rural),MDA,"Prestação gratuita de serviços de ATER voltados ao desenvolvimento sustentável da agricultura familiar, pesca artesanal e comunidades tradicionais, articulando crédito, produção e comercialização","- Agricultor/pescador familiar (obrigatório)
- Residência rural/pesqueira (obrigatório)
- CAF/DAP ativo (obrigatório)
- Requerimento de ATER (obrigatório)
- Cadastro no sistema ATER (obrigatório)
- Atendimento por órgão oficial (obrigatório)
- Contrato/convênio firmado (obrigatório)
- Acesso remoto",Decreto nº 7.215/2010 (regulamenta a Lei 12.188/2010),https://www.planalto.gov.br/ccivil_03/_Ato2007-2010/2010/Decreto/D7215.htm,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/lei/l12188.htm,(61) 3218-3319,saf@mda.gov.br,https://www.gov.br/mda,,"ATER Digital, ATER Privada/OSCIPs, ATER Pública, Pronater",Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 3218-3319. E-mails: saf@mda.gov.br.
POL030,Programa Nacional de Crédito Fundiário (PNCF),Nacional,crédito rural,MDA,Financiamento para compra de terra e infraestrutura básica produtiva,"- Agricultor familiar sem terra ou com pouca terra (obrigatório)
- Capacidade de pagamento (obrigatório)
- CAF/DAP ativo (obrigatório)
- Projeto de aquisição/produção (obrigatório)
- Solicitar junto ao agente financeiro (obrigatório)
- Assinatura de contrato (obrigatório)
- Valor financiado (obrigatório)",Resolução MDA nº 4/2025 (atualiza regulamento operativo do PNCF),https://www.gov.br/mda/pt-br/assuntos/terra-brasil/arquivos/resolucao-mda-no-4-de-22-de-janeiro-de-2025.pdf,Gov.br PNCF,(61) 3218-2603,saf@mda.gov.br,https://www.gov.br/mda,"• teto_financiamento_individual: R$ 150.000,00 (indicativo)
• entrada/contrapartida: “conforme modalidade”
• taxa_juros_anual: “subsidiada (a confirmar)”
• prazo_total: até 25 anos (indicativo)
• carencia: 3–5 anos (indicativo)",,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 3218-2603. E-mails: saf@mda.gov.br.
POL029,Programa Bolsa Família (PBF),Nacional,benefício financeiro,MDS,Transferência direta de renda com valores base e adicionais por composição familiar,"- Renda per capita familiar (obrigatório)
- Cadastro no CadÚnico (obrigatório)
- Documentos pessoais (obrigatório)
- Cadastro e atualização (obrigatório)
- Valor por pessoa (obrigatório)
- Valor por família (obrigatório)
- Criança de 0 a 6 anos (obrigatório)
- Gestantes, nutrizes e adolescentes (obrigatório)",Decreto nº 12.064/2024 (regulamenta o PBF),https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12064.htm,Gov.br Bolsa Família,121 / WhatsApp (61) 4042-1552,protocolo@mds.gov.br,https://www.gov.br/mds,"• beneficio_base_minimo: R$ 600,00/mês
• beneficio_renda_cidadania_por_pessoa: 142
• beneficio_primeira_infancia: R$ 150,00/mês por criança 0–6 anos
• beneficio_variavel_familiar: R$ 50,00/mês por gestante, nutriz, criança 7–12 ou adolescente 12–18
• beneficio_extraordinario_transicao: “conforme regra vigente”
• condicionalidades: frequência escolar; vacinação; acompanhamento de saúde","Benefício Complementar (BCO), Benefício Extraordinário de Transição (BET), Benefício Primeira Infância (BPI), Benefício Variável Familiar (BVF), Benefício de Renda de Cidadania (BRC)",Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: 121 / WhatsApp (61) 4042-1552. E-mails: protocolo@mds.gov.br.
POL015,Plano Nacional de Fortalecimento das Comunidades Extrativistas e Ribeirinhas (Planafe),Nacional,plano estruturante / política integradora,MMA,Integra e adequa políticas públicas para melhorar a qualidade de vida e conservar o meio ambiente nas comunidades extrativistas e ribeirinhas; apoia a PNPCT.,"- Comunidade extrativista/ribeirinha (obrigatório)
- Organização comunitária (obrigatório)
- Declaração comunitária (obrigatório)
- Cadastro socioeconômico
- Cadastro no Planafe (obrigatório)
- Participação em oficinas/atividades
- Vínculo territorial (obrigatório)
- Declaração territorial (obrigatório)",Decreto nº 9.334/2018 (institui o Planafe),https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/D9334.htm,https://www2.camara.leg.br/legin/fed/decret/2018/decreto-9334-5-abril-2018-786417-publicacaooriginal-155181-pe.html?utm_source=chatgpt.com,(61) 3218-2603,ouvidoria@mda.gov.br,https://www.gov.br/mda,,,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 3218-2603. E-mails: ouvidoria@mda.gov.br.
POL033,Plano Nacional de Áreas Protegidas (PNAP),Nacional,plano estruturante,MMA,Organiza e integra a gestão do sistema nacional de áreas protegidas,"- Inserção em UC ou mosaico (obrigatório)
- Compatibilidade de uso sustentável (obrigatório)
- Cadastro em conselho gestor (obrigatório)
- Plano de Manejo ou PGTA (obrigatório)
- Participar de conselhos de gestão (obrigatório)
- Acesso a projetos de apoio",Decreto nº 5.758/2006 (institui o PNAP),https://legislacao.presidencia.gov.br/ficha/?/legisla/legislacao.nsf/Viw_Identificacao/DEC+5.758-2006=&OpenDocument=,MMA – PNAP,(61) 2028-1000,faleconosco@mma.gov.br,https://www.gov.br/mma,,,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 2028-1000. E-mails: faleconosco@mma.gov.br.
POL006,Política Nacional de Desenvolvimento Sustentável dos Povos e Comunidades Tradicionais (PNPCT),Nacional,política transversal de direitos,MMA,"Reconhecimento e garantia dos direitos territoriais, culturais, sociais e econômicos dos povos e comunidades tradicionais, assegurando acesso a políticas públicas específicas","- Reconhecimento como PCT (obrigatório)
- Organização coletiva (obrigatório)
- Declaração de comunidade tradicional (obrigatório)
- Cadastro socioeconômico (CadÚnico/SEAD)
- Cadastro junto a órgãos gestores (obrigatório)
- Participação em conselhos e fóruns
- Vínculo territorial (obrigatório)
- Declaração territorial (obrigatório)",Decreto nº 6.040/2007 (institui a PNPCT),https://www.planalto.gov.br/ccivil_03/_Ato2007-2010/2007/Decreto/D6040.htm,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6040.htm,121,ouvidoria@mds.gov.br,https://www.gov.br/mds,,,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: 121. E-mails: ouvidoria@mds.gov.br.
POL009,Sistema Nacional de Unidades de Conservação da Natureza (SNUC) – Uso Sustentável,Nacional,política ambiental de conservação e uso sustentável,MMA,"Estabelece categorias de unidades de conservação de uso sustentável (como Reservas Extrativistas, Reservas de Desenvolvimento Sustentável e APAs), garantindo uso dos recursos naturais de forma comunitária e sustentável","- Residência em UC de uso sustentável (obrigatório)
- Atividade tradicional (obrigatório)
- Comprovação de residência (obrigatório)
- Cadastro no CadÚnico
- Participação em conselho deliberativo (obrigatório)
- Assinatura de Termo de Compromisso (obrigatório)
- Respeitar regras de manejo (obrigatório)",Decreto nº 4.340/2002 (regulamenta dispositivos da Lei do SNUC),https://www.planalto.gov.br/ccivil_03/decreto/2002/d4340.htm,https://www.planalto.gov.br/ccivil_03/leis/l9985.htm,(61) 3341-9280,comunicacao@icmbio.gov.br,https://www.icmbio.gov.br,,,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 3341-9280. E-mails: comunicacao@icmbio.gov.br.
POL032,Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas (PNGATI),Nacional,política indigenista,MMA/FUNAI,"Apoia a gestão territorial, segurança alimentar, conservação ambiental e autonomia produtiva de povos indígenas","- Reconhecimento como povo indígena (obrigatório)
- Localização em Terra Indígena (obrigatório)
- Declaração da FUNAI (obrigatório)
- Plano de Gestão Territorial e Ambiental (PGTA) (obrigatório)
- Cadastro em programas da PNGATI (obrigatório)
- Participação em oficinas e capacitações",Decreto nº 7.747/2012 (institui a PNGATI),https://www.planalto.gov.br/ccivil_03/_Ato2011-2014/2012/Decreto/D7747.htm,Gov.br PNGATI,(61) 3247-6000,ouvidoria@funai.gov.br,https://www.gov.br/funai,,,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 3247-6000. E-mails: ouvidoria@funai.gov.br.
POL036,Lei da Pesca – Política Nacional de Pesca e Aquicultura,Nacional,marco legal,MPA,"Estabelece normas para ordenamento pesqueiro, RGP, aquicultura e políticas públicas de pesca","- Exercício da atividade pesqueira (obrigatório)
- RGP ativo (obrigatório)
- RGP válido (obrigatório)
- Licenciamento ambiental (quando aplicável) (obrigatório)
- Cumprimento das normas de ordenamento (obrigatório)
- Participação em conselhos e fóruns",Lei nº 11.959/2009 (Política Nacional de Desenvolvimento Sustentável da Aquicultura e da Pesca),https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l11959.htm,Planalto – Lei da Pesca,(61) 2020-6300,ouvidoria@mpa.gov.br,https://www.gov.br/mpa,,,Confira os critérios listados. Acesse a página oficial (Mais informações). Use o site de atendimento informado. Telefones: (61) 2020-6300. E-mails: ouvidoria@mpa.gov.br.
